ts_code,name,industry,strategy,New_Score,Pos_Sugg,close,pct_chg,pe_ttm,turnover_rate,MV_Yi
003010.SZ,若羽臣,互联网,▲梯量上行,52,12%,38.26,0.0261,77.9352,5.0069,86.52
001339.SZ,智微智能,IT设备,▲梯量上行,44,10%,57.19,0.0875,83.0658,9.9333,68.28
601618.SH,中国中冶,建筑工程,★低位强攻,61,12%,3.3,4.7619,17.6015,5.3408,589.14
600997.SH,开滦股份,焦炭加工,★低位强攻,56,12%,6.18,5.4608,27.8143,2.3825,98.13
603072.SH,天和磁材,矿物制品,★低位强攻,52,12%,45.99,4.8803,81.3746,11.0194,58.05
600508.SH,上海能源,煤炭开采,★低位强攻,52,12%,12.74,4.4262,26.6848,2.513,92.07
600429.SH,三元股份,乳制品,★低位强攻,50,12%,5.45,4.2065,43.6804,3.2188,81.62
002553.SZ,南方精工,汽车配件,☆缩量洗盘,56,12%,28.36,-1.0813,29.0911,6.1868,71.13
603089.SH,正裕工业,汽车配件,☆缩量洗盘,53,12%,13.87,-2.5983,21.2549,2.1147,33.29
002172.SZ,澳洋健康,医疗保健,☆缩量洗盘,52,12%,4.32,-1.8182,78.7657,2.5079,33.06
600728.SH,佳都科技,软件服务,☆缩量洗盘,52,10%,7.11,-0.6983,56.7734,2.7072,151.63
002239.SZ,奥特佳,汽车配件,☆缩量洗盘,50,10%,3.3,-0.6024,86.7141,2.9105,107.76
