feature,importance
limit_up_signal,0.024814088
price_above_ma20,0.01774206
amplitude,0.017093025
price_breakdown,0.015700804
up_down_ratio,0.015012063
volume_ratio_20,0.01497114
macd_golden_cross,0.014905462
support_20,0.014819237
turnover_rate,0.014479954
returns_ma20,0.014370131
northbound_persistence,0.014369457
k_value,0.014275572
ma_20,0.014270212
stock_sentiment,0.014230402
high_20,0.014188806
low_20,0.0141595835
ma_60,0.014126669
price_breakout_up,0.014104129
main_capital_inflow_ma20,0.014100719
macd_death_cross,0.0140677765
macd_signal,0.013964565
relative_strength,0.013963254
rsi_12,0.013880999
main_capital_persistence,0.013860444
momentum_10,0.013858444
large_order_inflow,0.013858121
ema_26,0.013851958
northbound_intensity,0.013809171
returns,0.013783037
distance_to_support,0.013779864
ema_12,0.013778623
volatility_20,0.0137456525
returns_ma5,0.013689979
ma_20_slope,0.013653427
macd,0.013652242
ma_5_slope,0.013601106
ma_10,0.013586732
momentum_3,0.013586134
sentiment_change,0.013585715
d_value,0.013584302
pct_change,0.01357714
macd_hist,0.013561736
j_value,0.013554435
amount,0.013550673
ma_5,0.0135014905
atr_14,0.01341955
main_capital_inflow_rate,0.013403173
distance_to_resistance,0.013392246
large_order_inflow_ma5,0.013375898
volume_concentration,0.013348665
foreign_preference,0.013329387
rsi_combination,0.013313021
change_amount,0.013284281
daily_return,0.013274847
main_capital_inflow_ma5,0.013241324
volatility_5,0.013236241
rsi_6,0.013209287
sentiment_cycle,0.0131289195
volume_ratio_5,0.013112736
northbound_signal,0.013087311
momentum_5,0.01306506
volume_price_correlation,0.013056936
momentum_20,0.013045059
rsi_24,0.013005505
limit_up_ma5,0.012999377
resistance_20,0.012933054
price_above_ma5,0.012773784
股票代码,0.012752461
kdj_golden_cross,0.012699568
ma_bullish_arrangement,0.012646486
capital_acceleration,0.012471236
limit_down_ma5,0.010774044
limit_down_signal,0.0
rsi_bullish_divergence,0.0
